School,ID,CoNo,StNo,Long,Lat,Low,High,Students
BELLAMY MIDDLE,2.50366E+11,13,25,-72.5874,42.1905,6,8,887
BELLINGHAM EARLY CHILDHOOD CENTER,2.50246E+11,21,25,-71.4574,42.1225,-1,-1,89
BELLINGHAM HIGH SCHOOL,2.50246E+11,21,25,-71.4691,42.075,9,12,625
BELLINGHAM MEMORIAL MIDDLE SCHOOL,2.50246E+11,21,25,-71.475,42.0748,5,8,731
BELMONT HIGH,2.50249E+11,17,25,-71.1649,42.3953,9,12,1183
BELMONT STREET COMMUNITY,2.51323E+11,27,25,-71.7877,42.2721,-1,6,512
BELMONTE SAUGUS MIDDLE,2.5105E+11,9,25,-71.0148,42.4581,6,8,653
BENJAMIN BANNEKER CHARTER PUBLIC SCHOOL,2.50002E+11,17,25,-71.1317,42.3921,0,6,345
BENJAMIN FRANKLIN CLASSICAL CHARTER PUBLIC SCHOOL,2.50003E+11,21,25,-71.4007,42.089,0,8,448
BENJAMIN FRIEDMAN MIDDLE,2.51152E+11,5,25,-71.1365,41.9209,5,7,755
BENJAMIN G BROWN,2.51089E+11,17,25,-71.1141,42.3974,0,6,285
BENJAMIN J PHELPS,2.5018E+11,13,25,-72.6121,42.0708,0,4,385
BENNETT,2.50678E+11,27,25,-71.765,42.522,-1,-1,107
BENNETT-HEMENWAY,2.50834E+11,17,25,-71.3585,42.3081,0,4,613
BENTLEY,2.51038E+11,9,25,-70.8806,42.5284,0,5,292
BERKLEY COMMUNITY SCHOOL,2.50252E+11,5,25,-71.0887,41.8332,-1,4,513
BERKLEY MIDDLE SCHOOL,2.50252E+11,5,25,-71.0866,41.8483,5,8,360
BERKSHIRE ARTS AND TECHNOLOGY CHARTER PUBLIC SCHOO,2.50008E+11,3,25,-73.1212,42.6196,6,12,326
BERKSHIRE TRAIL ELEMENTARY,2.50339E+11,15,25,-72.8899,42.4586,-1,5,76
BERLIN MEMORIAL,2.50255E+11,27,25,-71.6396,42.3812,-1,5,204
BERNARDSTON ELEMENTARY,2.5096E+11,11,25,-72.5615,42.6661,-1,6,172
BESSIE BUKER ELEMENTARY,2.50567E+11,9,25,-70.8856,42.6086,0,5,235
BETSEY B WINSLOW,2.50843E+11,5,25,-70.9446,41.6255,0,5,279
BEVERLY HIGH,2.50264E+11,9,25,-70.8808,42.5658,9,12,1334
BIGELOW MIDDLE,2.50861E+11,17,25,-71.1814,42.3535,6,8,525
BILLERICA MEMORIAL HIGH SCHOOL,2.50267E+11,17,25,-71.2732,42.5612,9,12,1530
BIRCH MEADOW,2.50999E+11,17,25,-71.1121,42.538,0,5,384
BIRCHLAND PARK,2.5045E+11,13,25,-72.5075,42.0698,6,8,660
BIRD MIDDLE,2.51197E+11,21,25,-71.2327,42.1489,6,8,512
BLACKSTONE,2.50279E+11,25,25,-71.0725,42.3407,-1,5,630
BLACKSTONE MILLVILLE RHS,2.50272E+11,27,25,-71.5382,42.03,9,12,492
BLACKSTONE VALLEY,2.50271E+11,27,25,-71.6159,42.1634,9,12,1164
BLANCHARD MEMORIAL,2.50285E+11,17,25,-71.5061,42.4818,-1,6,428
BLANCHARD MIDDLE,2.51266E+11,17,25,-71.4818,42.5933,6,8,584
BLOCKS PRE-SCHOOL @ KING,2.50498E+11,17,25,-71.4208,42.328,-1,0,305
BLUE HILLS REGIONAL VOCATIONAL TECHNICAL,2.50274E+11,21,25,-71.1039,42.1822,9,12,842
BLUEBERRY HILL,2.50699E+11,13,25,-72.5592,42.0592,0,5,472
BOLAND SCHOOL,2.51113E+11,13,25,-72.5869,42.1201,-1,5,790
BOSTON ADULT ACADEMY,2.50279E+11,25,25,-71.0869,42.2817,11,12,212
BOSTON ARTS ACADEMY,2.50279E+11,25,25,-71.094,42.3473,9,12,445
