time,age,gender,Infected_Later_Years,Wait_Until_Next_Infection_Check
1167609600922-1199145600921,25-34,M,0.0006436,0.9993564
1167609600922-1199145600921,25-34,F,0.0001907,0.9998093
1167609600922-1199145600921,35-44,M,0.0006075,0.9993925
1167609600922-1199145600921,35-44,F,0.0001744,0.9998256
1167609600922-1199145600921,45-54,M,0.0004327,0.9995673
1167609600922-1199145600921,45-54,F,0.0001367,0.9998633
1167609600922-1199145600921,55-150,M,0.0001271,0.9998729
1167609600922-1199145600921,55-150,F,0.0000367,0.9999633
1199145600922-1230768000921,0-12,M,0.0000034,0.9999966
1199145600922-1230768000921,0-12,F,0.0000035,0.9999965
1199145600922-1230768000921,13-24,M,0.0001988,0.9998012
1199145600922-1230768000921,13-24,F,0.0000214,0.9999786
1199145600922-1230768000921,25-34,M,0.0002126,0.9997874
1199145600922-1230768000921,25-34,F,0.0000845,0.9999155
1199145600922-1230768000921,35-44,M,0.0000927,0.9999073
1199145600922-1230768000921,35-44,F,0.0001167,0.9998833
1199145600922-1230768000921,45-54,M,0.0000113,0.9999887
1199145600922-1230768000921,45-54,F,0.0000908,0.9999092
1199145600922-1230768000921,55-150,M,0.0000067,0.9999933
1199145600922-1230768000921,55-150,F,0.0000235,0.9999765
1230768000922-1262304000921,0-12,M,0.0000017,0.9999983
1230768000922-1262304000921,0-12,F,0.0000017,0.9999983
1230768000922-1262304000921,13-24,M,0.0001988,0.9998012
1230768000922-1262304000921,13-24,F,0.0000214,0.9999786
1230768000922-1262304000921,25-34,M,0.0002126,0.9997874
1230768000922-1262304000921,25-34,F,0.0000845,0.9999155
1230768000922-1262304000921,35-44,M,0.0000927,0.9999073
1230768000922-1262304000921,35-44,F,0.0001167,0.9998833
1230768000922-1262304000921,45-54,M,0.0000113,0.9999887
1230768000922-1262304000921,45-54,F,0.0000908,0.9999092
1230768000922-1262304000921,55-150,M,0.0000067,0.9999933
1230768000922-1262304000921,55-150,F,0.0000235,0.9999765
1262304000922-1293840000921,0-12,M,0.0000019,0.9999981
1262304000922-1293840000921,0-12,F,0.0000019,0.9999981
1262304000922-1293840000921,13-24,M,0.0002118,0.9997882
1262304000922-1293840000921,13-24,F,0.0000395,0.9999605
1262304000922-1293840000921,25-34,M,0.0002215,0.9997785
1262304000922-1293840000921,25-34,F,0.0000458,0.9999542
1262304000922-1293840000921,35-44,M,0.0000924,0.9999076
1262304000922-1293840000921,35-44,F,0.0000112,0.9999888
1262304000922-1293840000921,45-54,M,0.0000282,0.9999718
1262304000922-1293840000921,45-54,F,0.0000090,0.9999910
1262304000922-1293840000921,55-150,M,0.0000076,0.9999924
1262304000922-1293840000921,55-150,F,0.0000046,0.9999954
1293840000922-1325376000921,0-12,M,0.0000017,0.9999983
1293840000922-1325376000921,0-12,F,0.0000017,0.9999983
1293840000922-1325376000921,13-24,M,0.0002114,0.9997886
1293840000922-1325376000921,13-24,F,0.0000373,0.9999627
1293840000922-1325376000921,25-34,M,0.0002277,0.9997723
1293840000922-1325376000921,25-34,F,0.0000365,0.9999635
1293840000922-1325376000921,35-44,M,0.0000930,0.9999070
1293840000922-1325376000921,35-44,F,0.0000114,0.9999886
1293840000922-1325376000921,45-54,M,0.0000337,0.9999663
1293840000922-1325376000921,45-54,F,0.0000090,0.9999910
1293840000922-1325376000921,55-150,M,0.0000069,0.9999931
1293840000922-1325376000921,55-150,F,0.0000030,0.9999970
1325376000922-1356998400921,0-12,M,0.0000022,0.9999978
1325376000922-1356998400921,0-12,F,0.0000022,0.9999978
1325376000922-1356998400921,13-24,M,0.0002213,0.9997787
1325376000922-1356998400921,13-24,F,0.0000334,0.9999666
1325376000922-1356998400921,25-34,M,0.0002351,0.9997649
1325376000922-1356998400921,25-34,F,0.0000378,0.9999622
1325376000922-1356998400921,35-44,M,0.0000966,0.9999034
1325376000922-1356998400921,35-44,F,0.0000076,0.9999924
1325376000922-1356998400921,45-54,M,0.0000335,0.9999665
1325376000922-1356998400921,45-54,F,0.0000056,0.9999944
1325376000922-1356998400921,55-150,M,0.0000049,0.9999951
1325376000922-1356998400921,55-150,F,0.0000016,0.9999984
1356998400922-1388534400921,0-12,M,0.0000017,0.9999983
1356998400922-1388534400921,0-12,F,0.0000017,0.9999983
1356998400922-1388534400921,13-24,M,0.0002095,0.9997905
1356998400922-1388534400921,13-24,F,0.0000269,0.9999731
1356998400922-1388534400921,25-34,M,0.0002434,0.9997566
1356998400922-1388534400921,25-34,F,0.0000383,0.9999617
1356998400922-1388534400921,35-44,M,0.0000893,0.9999107
1356998400922-1388534400921,35-44,F,0.0000091,0.9999909
1356998400922-1388534400921,45-54,M,0.0000305,0.9999695
1356998400922-1388534400921,45-54,F,0.0000054,0.9999946
1356998400922-1388534400921,55-150,M,0.0000064,0.9999936
1356998400922-1388534400921,55-150,F,0.0000025,0.9999975
1388534400922-1420070400921,0-12,M,0.0000011,0.9999989
1388534400922-1420070400921,0-12,F,0.0000011,0.9999989
1388534400922-1420070400921,13-24,M,0.0002491,0.9997509
1388534400922-1420070400921,13-24,F,0.0000348,0.9999652
1388534400922-1420070400921,25-34,M,0.0003103,0.9996897
1388534400922-1420070400921,25-34,F,0.0000477,0.9999523
1388534400922-1420070400921,35-44,M,0.0001295,0.9998705
1388534400922-1420070400921,35-44,F,0.0000243,0.9999757
1388534400922-1420070400921,45-54,M,0.0000615,0.9999385
1388534400922-1420070400921,45-54,F,0.0000096,0.9999904
1388534400922-1420070400921,55-150,M,0.0000090,0.9999910
1388534400922-1420070400921,55-150,F,0.0000044,0.9999956
1420070400922-1451606400921,0-12,M,0.0000010,0.9999990
1420070400922-1451606400921,0-12,F,0.0000010,0.9999990
1420070400922-1451606400921,13-24,M,0.0002530,0.9997470
1420070400922-1451606400921,13-24,F,0.0000325,0.9999675
1420070400922-1451606400921,25-34,M,0.0003224,0.9996776
1420070400922-1451606400921,25-34,F,0.0000458,0.9999542
1420070400922-1451606400921,35-44,M,0.0001301,0.9998699
1420070400922-1451606400921,35-44,F,0.0000249,0.9999751
1420070400922-1451606400921,45-54,M,0.0000603,0.9999397
1420070400922-1451606400921,45-54,F,0.0000140,0.9999860
1420070400922-1451606400921,55-150,M,0.0000111,0.9999889
1420070400922-1451606400921,55-150,F,0.0000045,0.9999955
1451606400922-1483228800921,0-12,M,0.0000008,0.9999992
1451606400922-1483228800921,0-12,F,0.0000008,0.9999992
1451606400922-1483228800921,13-24,M,0.0002428,0.9997572
1451606400922-1483228800921,13-24,F,0.0000289,0.9999711
1451606400922-1483228800921,25-34,M,0.0003320,0.9996680
1451606400922-1483228800921,25-34,F,0.0000542,0.9999458
1451606400922-1483228800921,35-44,M,0.0001255,0.9998745
1451606400922-1483228800921,35-44,F,0.0000251,0.9999749
1451606400922-1483228800921,45-54,M,0.0000519,0.9999481
1451606400922-1483228800921,45-54,F,0.0000203,0.9999797
1451606400922-1483228800921,55-150,M,0.0000078,0.9999922
1451606400922-1483228800921,55-150,F,0.0000061,0.9999939
1483228800922-1514764800921,0-12,M,0.0000007,0.9999993
1483228800922-1514764800921,0-12,F,0.0000007,0.9999993
1483228800922-1514764800921,13-24,M,0.0002322,0.9997678
1483228800922-1514764800921,13-24,F,0.0000318,0.9999682
1483228800922-1514764800921,25-34,M,0.0003252,0.9996748
1483228800922-1514764800921,25-34,F,0.0000500,0.9999500
1483228800922-1514764800921,35-44,M,0.0001269,0.9998731
1483228800922-1514764800921,35-44,F,0.0000244,0.9999756
1483228800922-1514764800921,45-54,M,0.0000542,0.9999458
1483228800922-1514764800921,45-54,F,0.0000151,0.9999849
1483228800922-1514764800921,55-150,M,0.0000059,0.9999941
1483228800922-1514764800921,55-150,F,0.0000056,0.9999944
1514764800922-1546300800921,0-12,M,0.0000004,0.9999996
1514764800922-1546300800921,0-12,F,0.0000004,0.9999996
1514764800922-1546300800921,13-24,M,0.0002215,0.9997785
1514764800922-1546300800921,13-24,F,0.0000307,0.9999693
1514764800922-1546300800921,25-34,M,0.0003256,0.9996744
1514764800922-1546300800921,25-34,F,0.0000486,0.9999514
1514764800922-1546300800921,35-44,M,0.0001226,0.9998774
1514764800922-1546300800921,35-44,F,0.0000300,0.9999700
1514764800922-1546300800921,45-54,M,0.0000520,0.9999480
1514764800922-1546300800921,45-54,F,0.0000148,0.9999852
1514764800922-1546300800921,55-150,M,0.0000079,0.9999921
1514764800922-1546300800921,55-150,F,0.0000037,0.9999963
1546300800922-1577836800921,0-12,M,0.0000003,0.9999997
1546300800922-1577836800921,0-12,F,0.0000003,0.9999997
1546300800922-1577836800921,13-24,M,0.0002200,0.9997800
1546300800922-1577836800921,13-24,F,0.0000304,0.9999696
1546300800922-1577836800921,25-34,M,0.0003087,0.9996913
1546300800922-1577836800921,25-34,F,0.0000524,0.9999476
1546300800922-1577836800921,35-44,M,0.0001222,0.9998778
1546300800922-1577836800921,35-44,F,0.0000270,0.9999730
1546300800922-1577836800921,45-54,M,0.0000565,0.9999435
1546300800922-1577836800921,45-54,F,0.0000174,0.9999826
1546300800922-1577836800921,55-150,M,0.0000053,0.9999947
1546300800922-1577836800921,55-150,F,0.0000042,0.9999958
