time,Check Vaccine Status,Terminal,Wait Until Exposure
1596844800000-1596931199999,0.0006504120000000001,0.0001,0.999249588
1596931200000-1597017599999,0.000549932,0.0001,0.999350068
1597017600000-1597103999999,0.000571976,0.0001,0.999328024
1597104000000-1597190399999,0.000576772,0.0001,0.999323228
1597190400000-1597276799999,0.000673324,0.0001,0.999226676
1597276800000-1597363199999,0.000616564,0.0001,0.999283436
1597363200000-1597449599999,0.0007850040000000001,0.0001,0.999114996
1597449600000-1597535999999,0.000564132,0.0001,0.999335868
1597536000000-1597622399999,0.00047113600000000004,0.0001,0.999428864
1597622400000-1597708799999,0.000440328,0.0001,0.999459672
1597708800000-1597795199999,0.000541124,0.0001,0.999358876
1597795200000-1597881599999,0.0005685520000000001,0.0001,0.999331448
1597881600000-1597967999999,0.0005291559999999999,0.0001,0.999370844
1597968000000-1598054399999,0.000586852,0.0001,0.999313148
1598054400000-1598140799999,0.000517416,0.0001,0.999382584
1598140800000-1598227199999,0.00041148000000000004,0.0001,0.99948852
1598227200000-1598313599999,0.000438336,0.0001,0.999461664
1598313600000-1598399999999,0.000484856,0.0001,0.999415144
1598400000000-1598486399999,0.0005427440000000001,0.0001,0.999357256
1598486400000-1598572799999,0.0005454,0.0001,0.9993546
1598572800000-1598659199999,0.000562692,0.0001,0.999337308
1598659200000-1598745599999,0.000513668,0.0001,0.999386332
1598745600000-1598831999999,0.000413392,0.0001,0.999486608
1598832000000-1598918399999,0.000424876,0.0001,0.999475124
1598918400000-1599004799999,0.000502772,0.0001,0.999397228
1599004800000-1599091199999,0.000492848,0.0001,0.999407152
1599091200000-1599177599999,0.00053168,0.0001,0.99936832
1599177600000-1599263999999,0.0006053440000000001,0.0001,0.999294656
1599264000000-1599350399999,0.000518536,0.0001,0.999381464
1599350400000-1599436799999,0.0003751,0.0001,0.9995249
1599436800000-1599523199999,0.0002837,0.0001,0.9996163
1599523200000-1599609599999,0.000327136,0.0001,0.999572864
1599609600000-1599695999999,0.0004091,0.0001,0.9994909
1599696000000-1599782399999,0.000433216,0.0001,0.999466784
1599782400000-1599868799999,0.000573948,0.0001,0.999326052
1599868800000-1599955199999,0.00049382,0.0001,0.99940618
1599955200000-1600041599999,0.000412996,0.0001,0.999487004
1600041600000-1600127999999,0.000413584,0.0001,0.999486416
1600128000000-1600214399999,0.000474512,0.0001,0.999425488
1600214400000-1600300799999,0.00046894799999999996,0.0001,0.999431052
1600300800000-1600387199999,0.000542228,0.0001,0.999357772
1600387200000-1600473599999,0.00059214,0.0001,0.99930786
1600473600000-1600559999999,0.000506988,0.0001,0.999393012
1600560000000-1600646399999,0.00046201600000000004,0.0001,0.999437984
1600646400000-1600732799999,0.000623308,0.0001,0.999276692
1600732800000-1600819199999,0.000479004,0.0001,0.999420996
1600819200000-1600905599999,0.000469416,0.0001,0.999430584
1600905600000-1600991999999,0.0005659479999999999,0.0001,0.999334052
