time,age,gender,Infected_Early_Years,Wait_Until_Next_Infection_Check
852076800922-883612800921,30-34,M,0.000750000,0.999250000
852076800922-883612800921,30-34,F,0.000219000,0.999781000
852076800922-883612800921,35-39,M,0.000739000,0.999261000
852076800922-883612800921,35-39,F,0.000217000,0.999783000
852076800922-883612800921,40-44,M,0.000645000,0.999355000
852076800922-883612800921,40-44,F,0.000174000,0.999826000
852076800922-883612800921,45-49,M,0.000493000,0.999507000
852076800922-883612800921,45-49,F,0.000115000,0.999885000
852076800922-883612800921,50-54,M,0.000313000,0.999687000
852076800922-883612800921,50-54,F,0.000067000,0.999933000
852076800922-883612800921,55-59,M,0.000217000,0.999783000
852076800922-883612800921,55-59,F,0.000044000,0.999956000
852076800922-883612800921,60-64,M,0.000137000,0.999863000
852076800922-883612800921,60-64,F,0.000031000,0.999969000
852076800922-883612800921,65-69,M,0.000080000,0.999920000
852076800922-883612800921,65-69,F,0.000016000,0.999984000
852076800922-883612800921,70-150,M,0.000024000,0.999976000
852076800922-883612800921,70-150,F,0.000006000,0.999994000
883612800922-915148800921,0-12,M,0.000007172,0.999992828
883612800922-915148800921,0-12,F,0.000007604,0.999992396
883612800922-915148800921,13-24,M,0.000038000,0.999962000
883612800922-915148800921,13-24,F,0.000033000,0.999967000
883612800922-915148800921,25-29,M,0.000309000,0.999691000
883612800922-915148800921,25-29,F,0.000129000,0.999871000
883612800922-915148800921,30-34,M,0.000618000,0.999382000
883612800922-915148800921,30-34,F,0.000190000,0.999810000
883612800922-915148800921,35-39,M,0.000649000,0.999351000
883612800922-915148800921,35-39,F,0.000189000,0.999811000
883612800922-915148800921,40-44,M,0.000537000,0.999463000
883612800922-915148800921,40-44,F,0.000156000,0.999844000
883612800922-915148800921,45-49,M,0.000434000,0.999566000
883612800922-915148800921,45-49,F,0.000103000,0.999897000
883612800922-915148800921,50-54,M,0.000284000,0.999716000
883612800922-915148800921,50-54,F,0.000066000,0.999934000
883612800922-915148800921,55-59,M,0.000185000,0.999815000
883612800922-915148800921,55-59,F,0.000044000,0.999956000
883612800922-915148800921,60-64,M,0.000123000,0.999877000
883612800922-915148800921,60-64,F,0.000028000,0.999972000
883612800922-915148800921,65-69,M,0.000069000,0.999931000
883612800922-915148800921,65-69,F,0.000017000,0.999983000
883612800922-915148800921,70-150,M,0.000024000,0.999976000
883612800922-915148800921,70-150,F,0.000006000,0.999994000
915148800922-946684800921,0-12,M,0.000004689,0.999995311
915148800922-946684800921,0-12,F,0.000005431,0.999994569
915148800922-946684800921,13-24,M,0.000038000,0.999962000
915148800922-946684800921,13-24,F,0.000029000,0.999971000
915148800922-946684800921,25-29,M,0.000282000,0.999718000
915148800922-946684800921,25-29,F,0.000131000,0.999869000
915148800922-946684800921,30-34,M,0.000557000,0.999443000
915148800922-946684800921,30-34,F,0.000179000,0.999821000
915148800922-946684800921,35-39,M,0.000624000,0.999376000
915148800922-946684800921,35-39,F,0.000184000,0.999816000
915148800922-946684800921,40-44,M,0.000528000,0.999472000
915148800922-946684800921,40-44,F,0.000150000,0.999850000
915148800922-946684800921,45-49,M,0.000419000,0.999581000
915148800922-946684800921,45-49,F,0.000107000,0.999893000
915148800922-946684800921,50-54,M,0.000270000,0.999730000
915148800922-946684800921,50-54,F,0.000067000,0.999933000
915148800922-946684800921,55-59,M,0.000180000,0.999820000
915148800922-946684800921,55-59,F,0.000044000,0.999956000
915148800922-946684800921,60-64,M,0.000117000,0.999883000
915148800922-946684800921,60-64,F,0.000028000,0.999972000
915148800922-946684800921,65-69,M,0.000070000,0.999930000
915148800922-946684800921,65-69,F,0.000020000,0.999980000
915148800922-946684800921,70-150,M,0.000024000,0.999976000
915148800922-946684800921,70-150,F,0.000005000,0.999995000
946684800922-978307200921,0-12,M,0.000003256,0.999996744
946684800922-978307200921,0-12,F,0.000004279,0.999995721
946684800922-978307200921,13-24,M,0.000040000,0.999960000
946684800922-978307200921,13-24,F,0.000031000,0.999969000
946684800922-978307200921,25-34,M,0.000340000,0.999660000
946684800922-978307200921,25-34,F,0.000147000,0.999853000
946684800922-978307200921,35-44,M,0.000534000,0.999466000
946684800922-978307200921,35-44,F,0.000171000,0.999829000
946684800922-978307200921,45-54,M,0.000330000,0.999670000
946684800922-978307200921,45-54,F,0.000093000,0.999907000
946684800922-978307200921,55-150,M,0.000087000,0.999913000
946684800922-978307200921,55-150,F,0.000021000,0.999979000
978307200922-1009843200921,0-12,M,0.000003476,0.999996524
978307200922-1009843200921,0-12,F,0.000003213,0.999996787
978307200922-1009843200921,13-24,M,0.000040000,0.999960000
978307200922-1009843200921,13-24,F,0.000029000,0.999971000
978307200922-1009843200921,25-34,M,0.000313000,0.999687000
978307200922-1009843200921,25-34,F,0.000138000,0.999862000
978307200922-1009843200921,35-44,M,0.000507000,0.999493000
978307200922-1009843200921,35-44,F,0.000166000,0.999834000
978307200922-1009843200921,45-54,M,0.000321000,0.999679000
978307200922-1009843200921,45-54,F,0.000095000,0.999905000
978307200922-1009843200921,55-150,M,0.000087000,0.999913000
978307200922-1009843200921,55-150,F,0.000019000,0.999981000
1009843200922-1041379200921,0-12,M,0.000001572,0.999998428
1009843200922-1041379200921,0-12,F,0.000001647,0.999998353
1009843200922-1041379200921,13-24,M,0.000043000,0.999957000
1009843200922-1041379200921,13-24,F,0.000030000,0.999970000
1009843200922-1041379200921,25-34,M,0.000296000,0.999704000
1009843200922-1041379200921,25-34,F,0.000132000,0.999868000
1009843200922-1041379200921,35-44,M,0.000508000,0.999492000
1009843200922-1041379200921,35-44,F,0.000162000,0.999838000
1009843200922-1041379200921,45-54,M,0.000322000,0.999678000
1009843200922-1041379200921,45-54,F,0.000099000,0.999901000
1009843200922-1041379200921,55-150,M,0.000085000,0.999915000
1009843200922-1041379200921,55-150,F,0.000022000,0.999978000
1041379200922-1072915200921,0-12,M,0.000001353,0.999998647
1041379200922-1072915200921,0-12,F,0.000001417,0.999998583
1041379200922-1072915200921,13-24,M,0.000049000,0.999951000
1041379200922-1072915200921,13-24,F,0.000029000,0.999971000
1041379200922-1072915200921,25-34,M,0.000287000,0.999713000
1041379200922-1072915200921,25-34,F,0.000133000,0.999867000
1041379200922-1072915200921,35-44,M,0.000507000,0.999493000
1041379200922-1072915200921,35-44,F,0.000175000,0.999825000
1041379200922-1072915200921,45-54,M,0.000328000,0.999672000
1041379200922-1072915200921,45-54,F,0.000102000,0.999898000
1041379200922-1072915200921,55-150,M,0.000086000,0.999914000
1041379200922-1072915200921,55-150,F,0.000023000,0.999977000
1072915200922-1104537600921,0-12,M,0.000001017,0.999998983
1072915200922-1104537600921,0-12,F,0.000001065,0.999998935
1072915200922-1104537600921,13-24,M,0.000053000,0.999947000
1072915200922-1104537600921,13-24,F,0.000027000,0.999973000
1072915200922-1104537600921,25-34,M,0.000282000,0.999718000
1072915200922-1104537600921,25-34,F,0.000123000,0.999877000
1072915200922-1104537600921,35-44,M,0.000478000,0.999522000
1072915200922-1104537600921,35-44,F,0.000163000,0.999837000
1072915200922-1104537600921,45-54,M,0.000315000,0.999685000
1072915200922-1104537600921,45-54,F,0.000104000,0.999896000
1072915200922-1104537600921,55-150,M,0.000089000,0.999911000
1072915200922-1104537600921,55-150,F,0.000023000,0.999977000
1104537600922-1136073600921,0-12,M,0.000001018,0.999998982
1104537600922-1136073600921,0-12,F,0.000001066,0.999998934
1104537600922-1136073600921,13-24,M,0.000055000,0.999945000
1104537600922-1136073600921,13-24,F,0.000027000,0.999973000
1104537600922-1136073600921,25-34,M,0.000257000,0.999743000
1104537600922-1136073600921,25-34,F,0.000112000,0.999888000
1104537600922-1136073600921,35-44,M,0.000440000,0.999560000
1104537600922-1136073600921,35-44,F,0.000150000,0.999850000
1104537600922-1136073600921,45-54,M,0.000308000,0.999692000
1104537600922-1136073600921,45-54,F,0.000101000,0.999899000
1104537600922-1136073600921,55-150,M,0.000083000,0.999917000
1104537600922-1136073600921,55-150,F,0.000023000,0.999977000
1136073600922-1167609600921,0-12,M,0.000000715,0.999999285
1136073600922-1167609600921,0-12,F,0.000000748,0.999999252
1136073600922-1167609600921,13-24,M,0.000053000,0.999947000
1136073600922-1167609600921,13-24,F,0.000024000,0.999976000
1136073600922-1167609600921,25-34,M,0.000243000,0.999757000
1136073600922-1167609600921,25-34,F,0.000104000,0.999896000
1136073600922-1167609600921,35-44,M,0.000416000,0.999584000
1136073600922-1167609600921,35-44,F,0.000141000,0.999859000
1136073600922-1167609600921,45-54,M,0.000285000,0.999715000
1136073600922-1167609600921,45-54,F,0.000100000,0.999900000
1136073600922-1167609600921,55-150,M,0.000085000,0.999915000
1136073600922-1167609600921,55-150,F,0.000024000,0.999976000
1167609600922-1199145600921,0-12,M,0.000000525,0.999999475
1167609600922-1199145600921,0-12,F,0.000000549,0.999999451
1167609600922-1199145600921,13-24,M,0.000062000,0.999938000
1167609600922-1199145600921,13-24,F,0.000024000,0.999976000
1167609600922-1199145600921,25-34,M,0.000239000,0.999761000
1167609600922-1199145600921,25-34,F,0.000097000,0.999903000
1167609600922-1199145600921,35-44,M,0.000379000,0.999621000
1167609600922-1199145600921,35-44,F,0.000138000,0.999862000
1167609600922-1199145600921,45-54,M,0.000285000,0.999715000
1167609600922-1199145600921,45-54,F,0.000098000,0.999902000
1167609600922-1199145600921,55-150,M,0.000078000,0.999922000
1167609600922-1199145600921,55-150,F,0.000025000,0.999975000
1199145600922-1230768000921,0-12,M,0.000000559,0.999999441
1199145600922-1230768000921,0-12,F,0.000000584,0.999999416
1199145600922-1230768000921,13-24,M,0.000065000,0.999935000
1199145600922-1230768000921,13-24,F,0.000022000,0.999978000
1199145600922-1230768000921,25-34,M,0.000238000,0.999762000
1199145600922-1230768000921,25-34,F,0.000096000,0.999904000
1199145600922-1230768000921,35-44,M,0.000360000,0.999640000
1199145600922-1230768000921,35-44,F,0.000129000,0.999871000
1199145600922-1230768000921,45-54,M,0.000280000,0.999720000
1199145600922-1230768000921,45-54,F,0.000095000,0.999905000
1199145600922-1230768000921,55-150,M,0.000083000,0.999917000
1199145600922-1230768000921,55-150,F,0.000024000,0.999976000
1230768000922-1262304000921,0-12,M,0.000000186,0.999999814
1230768000922-1262304000921,0-12,F,0.000000194,0.999999806
1230768000922-1262304000921,13-24,M,0.000072000,0.999928000
1230768000922-1262304000921,13-24,F,0.000022000,0.999978000
1230768000922-1262304000921,25-34,M,0.000237000,0.999763000
1230768000922-1262304000921,25-34,F,0.000084000,0.999916000
1230768000922-1262304000921,35-44,M,0.000323000,0.999677000
1230768000922-1262304000921,35-44,F,0.000118000,0.999882000
1230768000922-1262304000921,45-54,M,0.000279000,0.999721000
1230768000922-1262304000921,45-54,F,0.000091000,0.999909000
1230768000922-1262304000921,55-150,M,0.000079000,0.999921000
1230768000922-1262304000921,55-150,F,0.000024000,0.999976000
1262304000922-1293840000921,0-12,M,0.000000369,0.999999631
1262304000922-1293840000921,0-12,F,0.000000386,0.999999614
1262304000922-1293840000921,13-24,M,0.000076000,0.999924000
1262304000922-1293840000921,13-24,F,0.000019000,0.999981000
1262304000922-1293840000921,25-34,M,0.000226000,0.999774000
1262304000922-1293840000921,25-34,F,0.000072000,0.999928000
1262304000922-1293840000921,35-44,M,0.000285000,0.999715000
1262304000922-1293840000921,35-44,F,0.000105000,0.999895000
1262304000922-1293840000921,45-54,M,0.000249000,0.999751000
1262304000922-1293840000921,45-54,F,0.000081000,0.999919000
1262304000922-1293840000921,55-150,M,0.000072000,0.999928000
1262304000922-1293840000921,55-150,F,0.000021000,0.999979000
1293840000922-1325376000921,0-12,M,0.000000296,0.999999704
1293840000922-1325376000921,0-12,F,0.000000309,0.999999691
1293840000922-1325376000921,13-24,M,0.000074000,0.999926000
1293840000922-1325376000921,13-24,F,0.000019000,0.999981000
